Subject,Session,ID,TETTime,RTTime,CursorX,CursorY,TimestampSec,TimestampMicrosec,XGazePosLeftEye,YGazePosLeftEye,XCameraPosLeftEye,YCameraPosLeftEye,DiameterPupilLeftEye,DistanceLeftEye,ValidityLeftEye,XGazePosRightEye,YGazePosRightEye,XCameraPosRightEye,YCameraPosRightEye,DiameterPupilRightEye,DistanceRightEye,ValidityRightEye,TrialId,SoundFile,Condition,TrialType,AdjectiveType,AdjectiveOnset,NounOnset,SceneID,Target,Competitor,Contrast,Distractor,AOI1,AOI2,AOI3,AOI4,LookedObj,LookedStimulus,LookedType,ClickedObj,ClickedType,RT,CurrentObject,NthAfterAdj
3,1,24864,208269.534,207721,963,491,208,269534,0.4985562,0.4897481,0.5398398,0.2826544,2.970682,583.8819,0,0.5052563,0.4196538,0.3274697,0.3195275,3.034837,583.5944,0,14,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,bumpy_bluecircle5.jpg,Fixation,Fixation,,AOI2,Target,2686,Stimulus,21
3,1,24869,208286.218,207737,960,484,208,286218,0.4971667,0.4829242,0.5398315,0.2826689,2.968048,583.9437,0,0.5031636,0.4145574,0.3274677,0.3195147,3.035048,583.6342,0,14,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,bumpy_bluecircle5.jpg,Fixation,Fixation,,AOI2,Target,2686,Stimulus,22
3,1,24874,208302.898,207754,962,491,208,302898,0.4996505,0.4896461,0.5397966,0.2826575,2.974732,584.0164,0,0.50332,0.4203028,0.3274366,0.3195189,3.05038,583.707,0,14,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,bumpy_bluecircle5.jpg,Fixation,Fixation,,AOI2,Target,2686,Stimulus,23
3,1,24879,208319.52,207771,960,487,208,319520,0.4966482,0.4872205,0.5397189,0.2825787,2.970277,584.0962,0,0.5043886,0.4146387,0.3273704,0.3195218,3.048158,583.8278,0,14,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,bumpy_bluecircle5.jpg,Fixation,Fixation,,AOI2,Target,2686,Stimulus,24
3,1,24884,208336.189,207787,958,490,208,336189,0.4944528,0.4868872,0.5396287,0.282442,2.984627,584.1378,0,0.5044651,0.4213645,0.3272787,0.3195114,3.035471,583.8142,0,14,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,bumpy_bluecircle5.jpg,Fixation,Fixation,,AOI2,Target,2686,Stimulus,25
3,1,24889,208352.838,207804,959,494,208,352838,0.4980124,0.4909201,0.5394631,0.2823474,3.002997,584.1302,0,0.5012608,0.4243566,0.3271419,0.3194915,3.057555,583.8902,0,14,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,bumpy_bluecircle5.jpg,Fixation,Fixation,,AOI2,Target,2686,Stimulus,26
3,1,24894,208369.528,207821,961,488,208,369528,0.4962847,0.4906465,0.5393015,0.2823119,3.002712,584.2599,0,0.5048242,0.4138554,0.3269959,0.3194939,3.050784,583.9551,0,14,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,bumpy_bluecircle5.jpg,Fixation,Fixation,,AOI2,Target,2686,Stimulus,27
3,1,24899,208386.207,207837,960,492,208,386207,0.4962101,0.4915929,0.5391234,0.2823347,3.014598,584.2474,0,0.5038854,0.4200073,0.326829,0.3195451,3.04406,584.0135,0,14,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,bumpy_bluecircle5.jpg,Fixation,Fixation,,AOI2,Target,2686,Stimulus,28
3,1,24904,208402.893,207854,958,491,208,402893,0.4967797,0.4913978,0.5389903,0.2823704,2.996545,584.3383,0,0.5019727,0.4179509,0.3267062,0.3196502,3.070872,584.1179,0,14,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,bumpy_bluecircle5.jpg,Fixation,Fixation,,AOI2,Target,2686,Stimulus,29
3,1,24909,208419.494,207870,956,486,208,419494,0.4964903,0.486335,0.5388311,0.2823873,3.001228,584.3502,0,0.5003674,0.4139206,0.3265843,0.3197661,3.050801,584.1254,0,14,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,bumpy_bluecircle5.jpg,Fixation,Fixation,,AOI2,Target,2686,Stimulus,30
